nombre_granja,cant_final_cerdos,calculada,Promedio de por_mortalidad,Ponderado
Cortijo,14970,"2,76%",1.1525,0.032563402543286164
El Oasis,1564,"0,29%",1.7851162790697677,0.00495854218822823
El PorFin,3324,"0,61%",0.976086956521739,0.005712722509906217
La Cecilia,7288,"1,34%",1.7835416666666666,0.0238928157600476
La Fabiola,5582,"1,03%",2.6401923076923075,0.026206660882284138
La Selva,1722,"0,32%",2.011458333333333,0.006213882149653397
Lago,271,"0,05%",3.205714285714286,0.0015706256528154653
Los Arrastres,2817,"0,52%",0.8781132075471698,0.004497633745424536
San Antonio,17166,"3,16%",0.630609756097561,0.020013153022708313
Versalles,3358,"0,62%",1.3896153846153847,0.008453101368540696
